Username,Name,Tweet Text,Tweet URL,Created at
DiskursusNet,Diskursus Network,"KEPOLISIAN BAK KANTOR PERSEROAN, SEMUA SERBA BERBAYAR

Selengkapnya ikuti 17+8 di Channel Youtube Diskursus Net 

Besok Pukul 09.00 WIB

#AlfonsLoemau #ReformasiPolri #Polri #ListyoSigit #Perseroan #Pungli #AdrianusMeliala #DiskursusNetwork #17plus8 https://t.co/YzBxACIgye",https://twitter.com/DiskursusNet/status/1971578822853361955,2025-09-26 14:13:16+00:00
DiskursusNet,Diskursus Network,"4 Anggota DPR RI bermasalah sudah dinonaktifkan setelah mendapat tekanan publik. Bagi Feri Amsari Partai Politik hanya ""mengakal-akali""
Selengkapnya tonton di YouTube Diskursus Net
#FeriAmsari  #17plus8 #TuntutanRakyat #TataNegara #dpr #partaipolitik #prabowo #gibran #jokowi https://t.co/77FUnLnfO3",https://twitter.com/DiskursusNet/status/1969672948593410199,2025-09-21 08:00:00+00:00
DiskursusNet,Diskursus Network,"KRIMINOLOG UI USULKAN PENAMBAHAN WAKAPOLRI DIBANDING HARUS REFORMASI POLRI

#AlfonsLoemau #ReformasiPolri #Polri #ListyoSigit #Perseroan #Pungli #AdrianusMeliala #DiskursusNetwork #17plus8 https://t.co/SxU5ROiCmZ",https://twitter.com/DiskursusNet/status/1972871373598196067,2025-09-30 03:49:24+00:00
JacksonRen92341,Renee Jackson,"Aspirasi rakyat jadi prioritas, pemerintah gelar rakor untuk implementasi nyata.
#17plus8 #KomitmenPemerintah #AspirasiBangsa https://t.co/njl6MjmukW",https://twitter.com/JacksonRen92341/status/1965310477174800408,2025-09-09 07:05:06+00:00
DiskursusNet,Diskursus Network,"Pakar Hukum Tata Negara Feri Amsari ajukan 3 rekomendasi terkait reformasi.

Selengkapnya saksikan di Channel YouTube Diskursus Net.

#Politik #FeriAmsari #diskursusnetwork #17plus8 #TuntutanRakyat #TataNegara #Hukum #PresidenPrabowo https://t.co/fuGi4QVyF8",https://twitter.com/DiskursusNet/status/1969235075163439306,2025-09-20 03:00:03+00:00
ForMujeres,for.mujeres,"[Catatan Kemarahan Rakyat Pada Polri dalam Penanganan Kekerasan Seksual]

#resetkepolisiancabul
#santri
#pesantren 
#kiai 
#santrilawankekerasanseksual 
#atasnamabaikpesantren
#reformasipolri
#resetindonesia https://t.co/I7zDIVfaX5",https://twitter.com/ForMujeres/status/1969331078650347958,2025-09-20 09:21:32+00:00
awayfromkeybo,afrzzz,"M&amp;M gokillll!!!!

#ResetIndonesia https://t.co/ZPdCRNijDC",https://twitter.com/awayfromkeybo/status/1966887668064940211,2025-09-13 15:32:17+00:00
idbaruid,Ekspedisi Indonesia Baru,Apa saja yang dihisap dari tanah Papua? #ResetIndonesia https://t.co/nx1yfnUrBd,https://twitter.com/idbaruid/status/1977317843143389416,2025-10-12 10:18:05+00:00
aannarraa,anna 🇵🇸,Today i walked 4.567 steps for #ResetIndonesia https://t.co/soJxy4aC90,https://twitter.com/aannarraa/status/1965356364911517815,2025-09-09 10:07:26+00:00
Dandhy_Laksono,Dandhy Laksono,#ResetIndonesia https://t.co/WOALOT221r,https://twitter.com/Dandhy_Laksono/status/1971402233494503750,2025-09-26 02:31:34+00:00
